"Measure","Importance"
"TokenDur",20.8983686482008
"intens_F3min",256.13974008348
"intens_F3max",251.113213561471
"F1_20",47.8238138277052
"F1_25",45.9333595901747
"F1_30",53.0346996167319
"F1_35",41.5205808730972
"F1_40",32.9185948833347
"F1_45",28.6922399647822
"F1_50",23.6896860598329
"F1_55",17.4692903442125
"F1_60",15.4154413899394
"F1_65",12.6153050732539
"F1_70",10.5401094072648
"F1_75",10.4921837566655
"F1_80",10.9170246984284
"BW1_20",17.0094215471194
"BW1_25",17.6621244729814
"BW1_30",16.1161604489753
"BW1_35",16.6180359566376
"BW1_40",14.1074421708244
"BW1_45",11.7700676636167
"BW1_50",11.9295264725376
"BW1_55",11.3167330829815
"BW1_60",12.0482859664198
"BW1_65",12.9547791115848
"BW1_70",11.9886724679786
"BW1_75",12.542934710232
"BW1_80",12.7874197550866
"F1max",20.740324885206
"F1min",14.9610036746065
"F1range",9.91223114371611
"time_F1max",11.0097651775228
"time_F1min",6.88590334719365
"time_F1range",6.79482367465504
"slopeF1",9.59213537973598
"diffF3F1_20",19.3421792976586
"diffF3F1_25",20.8296695498343
"diffF3F1_30",15.3239594793006
"diffF3F1_35",17.2108911161137
"diffF3F1_40",17.0257548762524
"diffF3F1_45",23.8233123406832
"diffF3F1_50",30.0315085265685
"diffF3F1_55",23.8746002054592
"diffF3F1_60",23.2616149891885
"diffF3F1_65",19.2007939596063
"diffF3F1_70",19.1057351665804
"diffF3F1_75",17.4533036557204
"diffF3F1_80",16.1806383957457
"F2_20",18.1808467973452
"F2_25",14.9316951293104
"F2_30",15.7363070952063
"F2_35",14.5705111436247
"F2_40",13.8216180136762
"F2_45",12.7138531974387
"F2_50",12.346918879215
"F2_55",12.1625169847565
"F2_60",11.0829634141279
"F2_65",12.3389202554054
"F2_70",11.5505490493204
"F2_75",11.6247636662511
"F2_80",13.3607058299523
"BW2_20",34.2391212441747
"BW2_25",29.2392124188945
"BW2_30",26.4464829548943
"BW2_35",29.6594493869024
"BW2_40",29.2801570165639
"BW2_45",29.6829969031743
"BW2_50",29.772743332656
"BW2_55",22.2934446285572
"BW2_60",18.3114374421193
"BW2_65",19.5379060229
"BW2_70",19.1942031709421
"BW2_75",17.9438458120241
"BW2_80",19.8179779980404
"F2max",10.9573789818953
"F2min",19.8207124415922
"F2range",16.9381414149304
"time_F2max",4.77543734106392
"time_F2min",6.93919837120873
"time_F2range",6.31152494972148
"slopeF2",12.7814822374786
"diffF3F2_20",44.0459563859343
"diffF3F2_25",54.8786818595176
"diffF3F2_30",55.895374170258
"diffF3F2_35",73.144956914319
"diffF3F2_40",73.7132554035542
"diffF3F2_45",88.2236319350011
"diffF3F2_50",125.148959624463
"diffF3F2_55",165.539902865109
"diffF3F2_60",190.582449092664
"diffF3F2_65",156.081494230962
"diffF3F2_70",107.011544527841
"diffF3F2_75",141.08842969212
"diffF3F2_80",109.470294078995
"F3_20",13.1073650984267
"F3_25",11.7675650942239
"F3_30",11.1672792704057
"F3_35",12.7422528147719
"F3_40",12.069623606907
"F3_45",16.4786465849641
"F3_50",20.4776182593727
"F3_55",20.3543089799821
"F3_60",25.100185888263
"F3_65",22.7502462482758
"F3_70",21.422575346315
"F3_75",19.2793833874747
"F3_80",18.6639067414929
"BW3_20",11.2581175266709
"BW3_25",12.0730052837077
"BW3_30",13.0848396183753
"BW3_35",15.5037743064377
"BW3_40",13.8106357409763
"BW3_45",14.267346953676
"BW3_50",16.4731034816533
"BW3_55",15.4964773149224
"BW3_60",15.0794535969514
"BW3_65",14.0125126008154
"BW3_70",12.7607414968307
"BW3_75",12.7668349022212
"BW3_80",12.912858479506
"F3max",15.8643032020805
"F3min",28.6622853238583
"F3range",40.9583202077193
"time_F3max",3.95840525298159
"time_F3min",7.32108749148597
"time_F3range",7.58353581571343
"slopeF3",18.6751221529064
"F4_20",11.780237003672
"F4_25",12.1617932297049
"F4_30",12.4763223337428
"F4_35",15.8349449713534
"F4_40",14.182978743713
"F4_45",14.8332735720573
"F4_50",16.014667180604
"F4_55",16.1474171772117
"F4_60",15.538482627935
"F4_65",15.8808839004834
"F4_70",14.0387868048721
"F4_75",13.7735232883553
"F4_80",12.5777796107364
"BW4_20",25.9969326260614
"BW4_25",31.1926550298318
"BW4_30",27.2914383649005
"BW4_35",27.3832511881148
"BW4_40",29.1258030745812
"BW4_45",26.9667276438353
"BW4_50",25.3176898985193
"BW4_55",25.0541466482929
"BW4_60",19.7276103763756
"BW4_65",23.5814961310961
"BW4_70",20.2214426323946
"BW4_75",17.3266058404406
"BW4_80",14.7791733370582
"F4max",11.4861939078771
"F4min",30.6735181553076
"F4range",23.6436987396408
"time_F4max",4.20346134873421
"time_F4min",5.13264807835613
"time_F4range",7.10247214511695
"slopeF4",16.8710520544006
"diffF4F3_20",10.6083954702871
"diffF4F3_25",11.0144161458699
"diffF4F3_30",9.60025281992382
"diffF4F3_35",9.77306294251936
"diffF4F3_40",9.85207911783681
"diffF4F3_45",9.79036545963542
"diffF4F3_50",11.6819599524863
"diffF4F3_55",10.934678722
"diffF4F3_60",10.878326491578
"diffF4F3_65",9.12416019600627
"diffF4F3_70",9.45885864759071
"diffF4F3_75",9.91586918971357
"diffF4F3_80",10.834143910311
