"Measure","Importance_black","Importance_white"
"TokenDur",4.29147366613524,10.3239642295537
"intens_F3min",5.23771647796958,9.50946608228262
"intens_F3max",4.98999099795378,8.90926787949699
"F1_20",4.55142158778017,7.49287366437278
"F1_25",5.47454311881072,7.64059406102901
"F1_30",4.79686812788956,7.61851771915379
"F1_35",5.82483883438935,8.23487568497413
"F1_40",5.82357502111176,7.86831014478439
"F1_45",5.29294161005161,8.80041791090872
"F1_50",5.04881292958021,8.9082916057775
"F1_55",4.99849081572214,9.05025782682992
"F1_60",4.83081143231553,9.43013938741312
"F1_65",5.68882092017503,10.5208064734496
"F1_70",5.12247783352138,11.810881999011
"F1_75",3.9808254171545,12.7772350120954
"F1_80",3.78887354847689,11.0142981734992
"BW1_20",3.92778506436043,6.91561405522732
"BW1_25",4.26208459907723,7.26638108110186
"BW1_30",3.75105689054758,8.71094695803486
"BW1_35",3.72818384862582,8.45283792116668
"BW1_40",3.73749864714918,7.64285417418791
"BW1_45",3.45683573660229,6.26321236681203
"BW1_50",3.47841849202286,6.94645384098748
"BW1_55",2.83529838271265,6.99400871837678
"BW1_60",2.78455768100109,6.78347903748392
"BW1_65",2.58604133467926,6.88304838292746
"BW1_70",3.27027294433894,6.64657479267174
"BW1_75",2.91527735067926,6.69935674006108
"BW1_80",3.35288816447393,7.65131200625155
"F1max",3.63258131645235,8.77099804233344
"F1min",5.9425104199832,8.774238975323
"F1range",3.20061627872921,8.89224096458043
"time_F1max",2.00303628244678,5.21934387591341
"time_F1min",1.31714281595074,2.65414314536146
"time_F1range",2.41534407685493,5.47863571016103
"slopeF1",3.56004871541128,7.76217616246713
"diffF3F1_20",5.72510679144869,7.07547319131808
"diffF3F1_25",7.09635058225565,7.37860339846371
"diffF3F1_30",7.46731970495544,8.93871866557427
"diffF3F1_35",9.85580196573975,11.353579098753
"diffF3F1_40",15.8178422803378,11.6937919485197
"diffF3F1_45",24.3324845215888,18.4475726029423
"diffF3F1_50",27.5872501754666,16.8371545800237
"diffF3F1_55",29.4247691307884,31.494102445504
"diffF3F1_60",21.8723789471529,36.6888616513684
"diffF3F1_65",20.0704528268763,36.535929001713
"diffF3F1_70",20.5420632240435,29.4152072628935
"diffF3F1_75",14.6384933832727,32.7559730076932
"diffF3F1_80",12.4525527397511,30.4654642986894
"F2_20",3.55157371266843,6.45494640686389
"F2_25",4.11025289009125,7.54461172819183
"F2_30",4.65376264494228,7.03455232146996
"F2_35",4.615016325154,7.01058596251548
"F2_40",3.94645429229852,7.27082415746162
"F2_45",5.37563078354293,6.97223872377561
"F2_50",4.518325323942,7.46088773220761
"F2_55",4.52441062533817,7.87692282938653
"F2_60",4.19705266020493,8.23339162949919
"F2_65",3.40523021073406,7.10203922424609
"F2_70",3.46291229898624,7.34193772637336
"F2_75",2.55808488519648,7.22952170923239
"F2_80",2.92566292543049,7.26301687033046
"BW2_20",3.35413230459,6.68751034938024
"BW2_25",3.15427089987209,7.41925401610581
"BW2_30",2.76460853706408,8.10077785079425
"BW2_35",2.61357973992358,7.23524564840294
"BW2_40",2.54812124612807,7.46518982612703
"BW2_45",3.2961492710755,9.16760003464723
"BW2_50",2.93340574568799,7.86229642010377
"BW2_55",2.75201268532459,7.48118977202521
"BW2_60",2.80302566863052,7.8144463251404
"BW2_65",2.72761427462594,8.72159640501419
"BW2_70",2.8321878075386,7.85326682573654
"BW2_75",3.17503798421916,7.74426867327747
"BW2_80",3.38407648215755,7.00361395181861
"F2max",3.61033837788874,6.90483247777959
"F2min",3.41941561711385,7.18064442686149
